LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
1977,PORSCHE,42-YEARS-FAMILY-OWNED  911S COUPE 5-SPEED,38500.0,2024-01-14,BID 
1987,PORSCHE,911 CARRERA COUPE G50,72500.0,2024-01-14,SOLD 
2010,PORSCHE,25K-KILOMETER  911 GT3 RS,319000.0,2024-01-14,SOLD 
0000,CLASSIC,18×8″ AND 18×10″ BBS SPORT II WHEELS FOR PORSCHE,2500.0,2024-01-13,SOLD 
2024,PORSCHE,911 GT3 MANTHEY RACING PACKAGE,315000.0,2024-01-13,SOLD 
0000,PORSCHE,16×7″ AND 16×9″ FUCHS WHEELS FOR,5200.0,2024-01-13,SOLD 
2006,PORSCHE,911 CARRERA COUPE 6-SPEED,46000.0,2024-01-13,SOLD 
0000,PORSCHE,911 TOOL KIT,3250.0,2024-01-13,SOLD 
1991,PORSCHE,911 CARRERA 2 COUPE 5-SPEED,138000.0,2024-01-12,SOLD 
2000,PORSCHE,911 CARRERA 4 MILLENNIUM 6-SPEED,30500.0,2024-01-12,BID 
1997,PORSCHE,911 TURBO,236100.0,2024-01-12,SOLD 
0000,PORSCHE,16×8″ BBS RS013 WHEELS FOR,2500.0,2024-01-12,SOLD 
2021,PORSCHE,911 TURBO S COUPE,197000.0,2024-01-12,SOLD 
1990,PORSCHE,911 CARRERA 2 CABRIOLET,47000.0,2024-01-12,SOLD 
2018,PORSCHE,911 GT3 TOURING 6-SPEED,238000.0,2024-01-12,SOLD 
2009,PORSCHE,911 CARRERA 4S CABRIOLET 6-SPEED,76911.0,2024-01-11,SOLD 
2002,PORSCHE,911 CARRERA 4S COUPE 6-SPEED,37500.0,2024-01-11,BID 
1988,PORSCHE,25-YEARS-FAMILY-OWNED  911 CARRERA COUPE G50,60500.0,2024-01-11,SOLD 
1996,PORSCHE,RWB-MODIFIED  911 CARRERA CABRIOLET,87502.0,2024-01-11,BID 
1975,PORSCHE,38-YEARS-OWNED  911S TARGA 5-SPEED,42718.0,2024-01-11,SOLD 
1983,PORSCHE,ROW  911 TURBO,100000.0,2024-01-11,SOLD 
1990,PORSCHE,911 CARRERA 4 COUPE 5-SPEED,83500.0,2024-01-11,SOLD 
1976,PORSCHE,911S COUPE 5-SPEED,40000.0,2024-01-10,SOLD 
1982,PORSCHE,911SC TARGA,45000.0,2024-01-10,SOLD 
0000,PORSCHE,TEA-TRAY SPOILER FOR 911,1201.0,2024-01-10,SOLD 
1996,PORSCHE,911 CARRERA TARGA 6-SPEED,164000.0,2024-01-10,SOLD 
2003,PORSCHE,911 TURBO COUPE,69000.0,2024-01-10,SOLD 
2017,PORSCHE,911 TARGA 4 GTS,135000.0,2024-01-10,SOLD 
1998,PORSCHE,911 CARRERA S COUPE 6-SPEED,111000.0,2024-01-10,SOLD 
2005,PORSCHE,911 CARRERA S COUPE,43000.0,2024-01-09,SOLD 
2023,PORSCHE,911 TARGA 4 GTS,193000.0,2024-01-09,SOLD 
1992,PORSCHE,911 TURBO,215000.0,2024-01-09,SOLD 
2023,PORSCHE,911 GT3 TOURING 6-SPEED,246500.0,2024-01-09,BID 
1996,PORSCHE,18K-KILOMETER  911 CARRERA RS,394000.0,2024-01-09,SOLD 
2008,PORSCHE,911 TURBO CABRIOLET 6-SPEED,111000.0,2024-01-08,SOLD 
1975,PORSCHE,BACKDATED  911S COUPE TWIN-PLUG 3.5L,90000.0,2024-01-08,BID 
1995,PORSCHE,911 CARRERA COUPE 6-SPEED,107600.0,2024-01-08,BID 
1970,PORSCHE,911E COUPE,111000.0,2024-01-08,SOLD 
0000,PORSCHE,KKK K27 TURBOCHARGER AND GHL MOTORSPORTS MUFFLER FOR 930,700.0,2024-01-08,SOLD 
1968,PORSCHE,MODIFIED  911 COUPE,26700.0,2024-01-08,SOLD 
1986,PORSCHE,MODIFIED  911 TURBO COUPE,105000.0,2024-01-08,BID 
2001,PORSCHE,911 CARRERA COUPE 6-SPEED,24000.0,2024-01-08,BID 
0000,PORSCHE,15×7″ AND 15×8″ FUCHS WHEELS FOR,3550.0,2024-01-07,SOLD 
2003,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,28000.0,2024-01-07,SOLD 
2012,PORSCHE,911 CARRERA S COUPE,64000.0,2024-01-07,SOLD 
0000,PORSCHE,RECARO SPORT SEATS FOR 911,15500.0,2024-01-07,SOLD 
0000,PORSCHE,997 SPORT BUCKET SEATS,14500.0,2024-01-07,SOLD 
1980,PORSCHE,ROW  911SC COUPE,59000.0,2024-01-07,SOLD 
2001,PORSCHE,MODIFIED  911 CARRERA CABRIOLET 6-SPEED,23000.0,2024-01-06,BID 
0000,PORSCHE,16×6″ AND 16×7″ FUCHS WHEELS FOR,1433.0,2024-01-06,SOLD 
2022,PORSCHE,911 GT3,210000.0,2024-01-06,SOLD 
1973,PORSCHE,911S TARGA,126000.0,2024-01-06,BID 
1996,PORSCHE,911 TURBO,197700.0,2024-01-05,SOLD 
1990,PORSCHE,911 CARRERA 2 COUPE 5-SPEED,109000.0,2024-01-05,BID 
1984,PORSCHE,911 CARRERA CABRIOLET RACE CAR,16750.0,2024-01-05,BID 
2017,PORSCHE,911 CARRERA 4S CABRIOLET,90000.0,2024-01-05,BID 
2014,PORSCHE,911 50TH ANNIVERSARY EDITION,144000.0,2024-01-05,SOLD 
2021,PORSCHE,911 TURBO S COUPE,230000.0,2024-01-05,SOLD 
2012,PORSCHE,911 TURBO S CABRIOLET,114000.0,2024-01-05,SOLD 
1987,PORSCHE,911 CARRERA CABRIOLET G50,77500.0,2024-01-05,SOLD 
1976,PORSCHE,911S TARGA PROJECT,30250.0,2024-01-05,SOLD 
0000,PORSCHE,SEATS FOR 911,1850.0,2024-01-04,SOLD 
0000,PORSCHE,16×6″ AND 16×7″ FUCHS WHEELS FOR,1500.0,2024-01-04,SOLD 
0000,PORSCHE,996 SPORT SEATS,3800.0,2024-01-04,SOLD 
2002,PORSCHE,911 CARRERA COUPE 6-SPEED,34000.0,2024-01-04,SOLD 
2011,PORSCHE,911 CARRERA COUPE 6-SPEED,70000.0,2024-01-04,SOLD 
1976,PORSCHE,39-YEARS-OWNED  930 TURBO CARRERA,124000.0,2024-01-04,SOLD 
2002,PORSCHE,911 TURBO COUPE 6-SPEED,48996.0,2024-01-04,SOLD 
1989,PORSCHE,911 CARRERA COUPE G50,69411.0,2024-01-04,BID 
1977,PORSCHE,V8-POWERED  911S COUPE SLANT NOSE CONVERSION,38250.0,2024-01-04,SOLD 
2019,PORSCHE,935,1600000.0,2024-01-04,SOLD 
