YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
1986,PORSCHE,944 TURBO,22000.0,2024-01-17,BID 
2006,PORSCHE,CAYENNE TURBO S,32205.0,2024-01-17,SOLD 
1976,PORSCHE,ROW  930 TURBO,111420.0,2024-01-17,SOLD 
0000,PORSCHE,15×4.5″ AND 15×7″ FUCHS WHEELS FOR,4501.0,2024-01-16,SOLD 
2000,PORSCHE,BOXSTER S 6-SPEED,14250.0,2024-01-16,SOLD 
2022,PORSCHE,911 GT3 TOURING 6-SPEED,229000.0,2024-01-16,SOLD 
2006,PORSCHE,CAYMAN S 6-SPEED,38000.0,2024-01-16,SOLD 
2004,PORSCHE,MODIFIED  CAYENNE TURBO,9600.0,2024-01-16,SOLD 
2022,PORSCHE,911 TARGA EDITION 50 YEARS DESIGN,206000.0,2024-01-16,BID 
2023,PORSCHE,911 GT3 RS WEISSACH,435000.0,2024-01-16,SOLD 
1989,PORSCHE,21-YEARS-OWNED  911 TURBO CABRIOLET,167000.0,2024-01-16,BID 
2021,PORSCHE,911 CARRERA S COUPE 7-SPEED,136500.0,2024-01-16,SOLD 
1997,PORSCHE,LINEN GREY METALLIC  911 CARRERA 4S 6-SPEED,131500.0,2024-01-16,SOLD 
2001,PORSCHE,911 TURBO COUPE 6-SPEED,85000.0,2024-01-16,SOLD 
2020,PORSCHE,TAYCAN 4S,66500.0,2024-01-15,SOLD 
2011,PORSCHE,911 TURBO S CABRIOLET,119000.0,2024-01-15,SOLD 
2021,PORSCHE,911 TARGA 4,141000.0,2024-01-15,BID 
1999,PORSCHE,BOXSTER 5-SPEED,11255.0,2024-01-15,SOLD 
2016,PORSCHE,CAYMAN GT4,92500.0,2024-01-15,SOLD 
2014,PORSCHE,PANAMERA 4S,28500.0,2024-01-15,SOLD 
0000,PORSCHE,356 SPEEDSTER REPLICA BY VINTAGE SPEEDSTERS,40750.0,2024-01-15,SOLD 
