Year,Make,Model,Price
2009,Audi,R8,59992.50 
2018,Audi,R8,139800.00 
2008,Audi,R8,72000.00 
2018,Audi,R8,130100.00 
2017,Audi,R8,239800.00 
2009,Audi,R8,50100.00 
2017,Audi,R8,120000.00 
2012,Audi,R8,89950.00 
2017,Audi,R8,138000.00 
2023,Audi,R8,209900.00 
2014,Audi,R8,101000.00 
2009,Audi,R8,73900.00 
2022,Audi,R8,199950.00 
2020,Audi,R8,144995.00 
2022,Audi,R8,243000.00 
2014,Audi,R8,88599.00 
2012,Audi,R8,89245.75 
2008,Audi,R8,85995.00 
2017,Audi,R8,155956.00 
2021,Audi,R8,166990.00 
2017,Audi,R8,149980.00 
2011,Audi,R8,97900.00 
2014,Audi,R8,108795.75 
2018,Audi,R8,144999.00 
2012,Audi,R8,93495.75 
2020,Audi,R8,190000.00 
2020,Audi,R8,183900.00 
2017,Audi,R8,145900.00 
2014,Audi,R8,119000.00 
2014,Audi,R8,112999.00 
2017,Audi,R8,149950.00 
2010,Audi,R8,104995.00 
2011,Audi,R8,175000.00 
2018,Audi,R8,179908.00 
2012,Audi,R8,83995.00 
2012,Audi,R8,103995.00 
2017,Audi,R8,155800.00 
2010,Audi,R8,145000.00 
2012,Audi,R8,95250.00 
2015,Audi,R8,139000.00 
2017,Audi,R8,159999.00 
2017,Audi,R8,99900.00 
2010,Audi,R8,92499.00 
2008,Audi,R8,64999.00 
2012,Audi,R8,89998.00 
2020,Audi,R8,224979.00 
2018,Audi,R8,139998.00 
2020,Audi,R8,199999.00 
2017,Audi,R8,199991.00 
2012,Audi,R8,92790.00 
2014,Audi,R8,179K MSRP 94995.00 
2017,Audi,R8,149998.00 
2018,Audi,R8,157499.00 
2021,Audi,R8,169998.00 
2011,Audi,R8,79900.00 
2014,Audi,R8,100999.00 
2011,Audi,R8,139900.00 
2008,Audi,R8,72790.00 
2017,Audi,R8,155990.00 
2017,Audi,R8,141000.00 
---------------------- 
